"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","306","deletePetTest","Petstore API Suite","Thu Dec 05 14:45:52 GMT 2024","passed","Thu Dec 05 14:45:52 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","deletePetTest"
"","428","findPetsByStatusTest","Petstore API Suite","Thu Dec 05 14:45:53 GMT 2024","passed","Thu Dec 05 14:45:53 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","findPetsByStatusTest"
"","612","deletePetTest","Petstore API Suite","Thu Dec 05 14:45:51 GMT 2024","passed","Thu Dec 05 14:45:52 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","deletePetTest"
"","290","updatePetTest","Petstore API Suite","Thu Dec 05 14:45:51 GMT 2024","passed","Thu Dec 05 14:45:51 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","updatePetTest"
"","488","findPetsByStatusTest","Petstore API Suite","Thu Dec 05 14:45:52 GMT 2024","passed","Thu Dec 05 14:45:53 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","findPetsByStatusTest"
"","323","updatePetTest","Petstore API Suite","Thu Dec 05 14:45:51 GMT 2024","passed","Thu Dec 05 14:45:51 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","updatePetTest"
"","713","createPetTest","Petstore API Suite","Thu Dec 05 14:45:49 GMT 2024","passed","Thu Dec 05 14:45:50 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","createPetTest"
"","1627","createPetTest","Petstore API Suite","Thu Dec 05 14:45:48 GMT 2024","passed","Thu Dec 05 14:45:49 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","createPetTest"
"","331","getPetTest","Petstore API Suite","Thu Dec 05 14:45:50 GMT 2024","passed","Thu Dec 05 14:45:51 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","getPetTest"
"","295","getPetByIdTest","Petstore API Suite","Thu Dec 05 14:45:50 GMT 2024","passed","Thu Dec 05 14:45:50 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","getPetByIdTest"
