"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","56","getPetTest","Petstore API Suite","Fri Dec 06 05:00:47 GMT 2024","passed","Fri Dec 06 05:00:47 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","getPetTest"
"","60","deletePetTest","Petstore API Suite","Fri Dec 06 05:00:47 GMT 2024","passed","Fri Dec 06 05:00:47 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","deletePetTest"
"","32","updatePetTest","Petstore API Suite","Fri Dec 06 05:00:47 GMT 2024","passed","Fri Dec 06 05:00:47 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","updatePetTest"
"","496","createPetTest","Petstore API Suite","Fri Dec 06 05:00:46 GMT 2024","passed","Fri Dec 06 05:00:47 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","createPetTest"
"","44","getPetByIdTest","Petstore API Suite","Fri Dec 06 05:00:47 GMT 2024","passed","Fri Dec 06 05:00:47 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","getPetByIdTest"
"","26","deletePetTest","Petstore API Suite","Fri Dec 06 05:00:47 GMT 2024","passed","Fri Dec 06 05:00:47 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","deletePetTest"
"","55","updatePetTest","Petstore API Suite","Fri Dec 06 05:00:47 GMT 2024","passed","Fri Dec 06 05:00:47 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","updatePetTest"
"","61","findPetsByStatusTest","Petstore API Suite","Fri Dec 06 05:00:47 GMT 2024","passed","Fri Dec 06 05:00:47 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","findPetsByStatusTest"
"","78","findPetsByStatusTest","Petstore API Suite","Fri Dec 06 05:00:47 GMT 2024","passed","Fri Dec 06 05:00:47 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","findPetsByStatusTest"
"","1476","createPetTest","Petstore API Suite","Fri Dec 06 05:00:45 GMT 2024","passed","Fri Dec 06 05:00:46 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","createPetTest"
