"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","734","deletePetTest","Petstore API Suite","Thu Dec 05 09:00:53 GMT 2024","passed","Thu Dec 05 09:00:54 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","deletePetTest"
"","376","deletePetTest","Petstore API Suite","Thu Dec 05 09:00:54 GMT 2024","passed","Thu Dec 05 09:00:54 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","deletePetTest"
"","384","updatePetTest","Petstore API Suite","Thu Dec 05 09:00:52 GMT 2024","passed","Thu Dec 05 09:00:52 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","updatePetTest"
"","375","getPetByIdTest","Petstore API Suite","Thu Dec 05 09:00:51 GMT 2024","passed","Thu Dec 05 09:00:52 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","getPetByIdTest"
"","496","findPetsByStatusTest","Petstore API Suite","Thu Dec 05 09:00:54 GMT 2024","passed","Thu Dec 05 09:00:54 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","findPetsByStatusTest"
"","1848","createPetTest","Petstore API Suite","Thu Dec 05 09:00:49 GMT 2024","passed","Thu Dec 05 09:00:50 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","createPetTest"
"","476","findPetsByStatusTest","Petstore API Suite","Thu Dec 05 09:00:54 GMT 2024","passed","Thu Dec 05 09:00:55 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","findPetsByStatusTest"
"","388","getPetTest","Petstore API Suite","Thu Dec 05 09:00:52 GMT 2024","passed","Thu Dec 05 09:00:52 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","getPetTest"
"","822","createPetTest","Petstore API Suite","Thu Dec 05 09:00:50 GMT 2024","passed","Thu Dec 05 09:00:51 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","createPetTest"
"","395","updatePetTest","Petstore API Suite","Thu Dec 05 09:00:52 GMT 2024","passed","Thu Dec 05 09:00:53 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","updatePetTest"
