"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53","updatePetTest","Petstore API Suite","Thu Dec 12 10:11:54 GMT 2024","passed","Thu Dec 12 10:11:55 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","updatePetTest"
"","67","getPetByIdTest","Petstore API Suite","Thu Dec 12 10:11:54 GMT 2024","passed","Thu Dec 12 10:11:54 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","getPetByIdTest"
"","77","updatePetTest","Petstore API Suite","Thu Dec 12 10:11:55 GMT 2024","passed","Thu Dec 12 10:11:55 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","updatePetTest"
"","107","findPetsByStatusTest","Petstore API Suite","Thu Dec 12 10:11:55 GMT 2024","passed","Thu Dec 12 10:11:55 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","findPetsByStatusTest"
"","98","deletePetTest","Petstore API Suite","Thu Dec 12 10:11:55 GMT 2024","passed","Thu Dec 12 10:11:55 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","deletePetTest"
"","50","deletePetTest","Petstore API Suite","Thu Dec 12 10:11:55 GMT 2024","passed","Thu Dec 12 10:11:55 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","deletePetTest"
"","146","findPetsByStatusTest","Petstore API Suite","Thu Dec 12 10:11:55 GMT 2024","passed","Thu Dec 12 10:11:55 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","findPetsByStatusTest"
"","1496","createPetTest","Petstore API Suite","Thu Dec 12 10:11:52 GMT 2024","passed","Thu Dec 12 10:11:54 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","createPetTest"
"","500","createPetTest","Petstore API Suite","Thu Dec 12 10:11:54 GMT 2024","passed","Thu Dec 12 10:11:54 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","createPetTest"
"","80","getPetTest","Petstore API Suite","Thu Dec 12 10:11:54 GMT 2024","passed","Thu Dec 12 10:11:54 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","getPetTest"
