"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","564","findPetsByStatusTest","Petstore API Suite","Thu Dec 12 09:16:58 GMT 2024","passed","Thu Dec 12 09:16:59 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","findPetsByStatusTest"
"","380","updatePetTest","Petstore API Suite","Thu Dec 12 09:16:56 GMT 2024","passed","Thu Dec 12 09:16:56 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","updatePetTest"
"","382","getPetByIdTest","Petstore API Suite","Thu Dec 12 09:16:55 GMT 2024","passed","Thu Dec 12 09:16:56 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","getPetByIdTest"
"","761","deletePetTest","Petstore API Suite","Thu Dec 12 09:16:57 GMT 2024","passed","Thu Dec 12 09:16:58 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","deletePetTest"
"","1814","createPetTest","Petstore API Suite","Thu Dec 12 09:16:53 GMT 2024","passed","Thu Dec 12 09:16:54 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","createPetTest"
"","544","findPetsByStatusTest","Petstore API Suite","Thu Dec 12 09:16:59 GMT 2024","passed","Thu Dec 12 09:16:59 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","findPetsByStatusTest"
"","407","getPetTest","Petstore API Suite","Thu Dec 12 09:16:56 GMT 2024","passed","Thu Dec 12 09:16:56 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","getPetTest"
"","389","updatePetTest","Petstore API Suite","Thu Dec 12 09:16:56 GMT 2024","passed","Thu Dec 12 09:16:57 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","updatePetTest"
"","370","deletePetTest","Petstore API Suite","Thu Dec 12 09:16:58 GMT 2024","passed","Thu Dec 12 09:16:58 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","deletePetTest"
"","834","createPetTest","Petstore API Suite","Thu Dec 12 09:16:54 GMT 2024","passed","Thu Dec 12 09:16:55 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","createPetTest"
