"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","489","createPetTest","Petstore API Suite","Wed Dec 04 12:46:03 GMT 2024","passed","Wed Dec 04 12:46:03 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","createPetTest"
"","1547","createPetTest","Petstore API Suite","Wed Dec 04 12:46:01 GMT 2024","passed","Wed Dec 04 12:46:03 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","createPetTest"
"","52","deletePetTest","Petstore API Suite","Wed Dec 04 12:46:04 GMT 2024","passed","Wed Dec 04 12:46:04 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","deletePetTest"
"","58","updatePetTest","Petstore API Suite","Wed Dec 04 12:46:04 GMT 2024","passed","Wed Dec 04 12:46:04 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","updatePetTest"
"","80","getPetTest","Petstore API Suite","Wed Dec 04 12:46:04 GMT 2024","passed","Wed Dec 04 12:46:04 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","getPetTest"
"","91","findPetsByStatusTest","Petstore API Suite","Wed Dec 04 12:46:04 GMT 2024","passed","Wed Dec 04 12:46:04 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","findPetsByStatusTest"
"","70","getPetByIdTest","Petstore API Suite","Wed Dec 04 12:46:03 GMT 2024","passed","Wed Dec 04 12:46:04 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","getPetByIdTest"
"","102","deletePetTest","Petstore API Suite","Wed Dec 04 12:46:04 GMT 2024","passed","Wed Dec 04 12:46:04 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","deletePetTest"
"","132","findPetsByStatusTest","Petstore API Suite","Wed Dec 04 12:46:04 GMT 2024","passed","Wed Dec 04 12:46:04 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","findPetsByStatusTest"
"","82","updatePetTest","Petstore API Suite","Wed Dec 04 12:46:04 GMT 2024","passed","Wed Dec 04 12:46:04 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","updatePetTest"
