"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","213","deletePetTest","Petstore API Suite","Wed Dec 04 12:22:14 GMT 2024","passed","Wed Dec 04 12:22:14 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","deletePetTest"
"","590","createPetTest","Petstore API Suite","Wed Dec 04 12:22:13 GMT 2024","passed","Wed Dec 04 12:22:13 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","createPetTest"
"","122","getPetByIdTest","Petstore API Suite","Wed Dec 04 12:22:13 GMT 2024","passed","Wed Dec 04 12:22:13 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","getPetByIdTest"
"","113","updatePetTest","Petstore API Suite","Wed Dec 04 12:22:14 GMT 2024","passed","Wed Dec 04 12:22:14 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","updatePetTest"
"","136","getPetTest","Petstore API Suite","Wed Dec 04 12:22:13 GMT 2024","passed","Wed Dec 04 12:22:14 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","getPetTest"
"","237","findPetsByStatusTest","Petstore API Suite","Wed Dec 04 12:22:14 GMT 2024","passed","Wed Dec 04 12:22:14 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","findPetsByStatusTest"
"","1437","createPetTest","Petstore API Suite","Wed Dec 04 12:22:11 GMT 2024","passed","Wed Dec 04 12:22:13 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","createPetTest"
"","105","deletePetTest","Petstore API Suite","Wed Dec 04 12:22:14 GMT 2024","passed","Wed Dec 04 12:22:14 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","deletePetTest"
"","173","findPetsByStatusTest","Petstore API Suite","Wed Dec 04 12:22:14 GMT 2024","passed","Wed Dec 04 12:22:15 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","findPetsByStatusTest"
"","133","updatePetTest","Petstore API Suite","Wed Dec 04 12:22:14 GMT 2024","passed","Wed Dec 04 12:22:14 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","updatePetTest"
